query,openai_session_2909584092_content_1,openai_session_2909584092_overview_1,openai_session_2909584092_distance_1,openai_session_2909584092_openai_content_1,openai_session_2909584092_openai_overview_1,openai_session_2909584092_openai_distance_1,openai_session_2909584092_content_2,openai_session_2909584092_overview_2,openai_session_2909584092_distance_2,openai_session_2909584092_openai_content_2,openai_session_2909584092_openai_overview_2,openai_session_2909584092_openai_distance_2,openai_session_2909584092_content_3,openai_session_2909584092_overview_3,openai_session_2909584092_distance_3,openai_session_2909584092_openai_content_3,openai_session_2909584092_openai_overview_3,openai_session_2909584092_openai_distance_3,gemma_session_7245098249_content_1,gemma_session_7245098249_overview_1,gemma_session_7245098249_distance_1,gemma_session_7245098249_openai_content_1,gemma_session_7245098249_openai_overview_1,gemma_session_7245098249_openai_distance_1,gemma_session_7245098249_content_2,gemma_session_7245098249_overview_2,gemma_session_7245098249_distance_2,gemma_session_7245098249_openai_content_2,gemma_session_7245098249_openai_overview_2,gemma_session_7245098249_openai_distance_2,gemma_session_7245098249_content_3,gemma_session_7245098249_overview_3,gemma_session_7245098249_distance_3,gemma_session_7245098249_openai_content_3,gemma_session_7245098249_openai_overview_3,gemma_session_7245098249_openai_distance_3
Can I attend the AI Conference online?,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,Details about streaming options for the event.,0.4773876368999481,Can I attend this event virtually,The AI Conference 2025 is an in-person event only.,0.6550873517990112,How do I email the conference registrar? You can contact the conference registrar at SASInnovateReg@sas.com.,Contact information for the conference registrar.,0.4079599976539612,How much does The AI Conference 2025 cost,The conference has Early Bird pricing while supplies last; standard passes pricing is available on the registration page after launch.,0.5797548890113831,How can my company sponsor The AI Conference,Visit aiconference.com/sponsors/ for all exhibitor opportunities.,0.394924521446228,How can my company sponsor The AI Conference,Visit aiconference.com/sponsors/ for all exhibitor opportunities.,0.5647423267364502,"The AI Conference is an in-person event only, promoting community and networking.",Event attendance is exclusively in-person.,0.7379112243652344,"The AI Conference is an in-person event only, promoting community and networking.",Event attendance is exclusively in-person.,0.6326095461845398,"The AI Conference 2025 takes place on September 17th – 18th, 2025, starting at 8:00 AM PST.",Dates and time of the conference.,0.6510326862335205,Copyright © The AI Conference. All Rights Reserved. Privacy Policy and Terms of Service are available on the website.,Copyright and legal information.,0.5762226581573486,"The AI Conference 2025 will be held at Pier 48, Mission Rock, San Francisco, CA 94158.",Location of the conference.,0.6501078605651855,"The AI Conference 2025 FAQ provides answers to frequently asked questions about the event. For questions not addressed, email info@aiconference.com.",Introduction to the FAQ section of The AI Conference 2025.,0.5661710500717163
Is SAS Innovate virtual or in-person?,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,Details about streaming options for the event.,0.6832175254821777,What is SAS Innovate 2025 and who should attend? SAS Innovate 2025 is the largest SAS event uniting business leaders technical users and SAS partners in one collaborative space to focus on data and AI. From executives data scientists engineers and analysts to our partners across industries the event offers amazing content for everyone and every role.,Description of SAS Innovate 2025 and its target audience.,0.691870927810669,What is SAS Innovate 2025 and who should attend? SAS Innovate 2025 is the largest SAS event uniting business leaders technical users and SAS partners in one collaborative space to focus on data and AI. From executives data scientists engineers and analysts to our partners across industries the event offers amazing content for everyone and every role.,Description of SAS Innovate 2025 and its target audience.,0.6270951628684998,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,Details about streaming options for the event.,0.632148802280426,How do you pay for SAS Innovate with SAS Training Points? SAS Training Points can be used to pay for the pre-conference training and/or the entire event.,Payment information using SAS Training Points.,0.5098894834518433,Will there be a SAS Explore in 2025? No. However all the great content our technical users have come to expect at SAS Explore hands-on learning technical sessions super demos and more will be offered at SAS Innovate.,Information about the absence of SAS Explore in 2025.,0.6281855702400208,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,SAS Innovate will provide complimentary live streaming and on-demand access to sessions.,0.6832175254821777,"What is SAS Innovate 2025, and who should attend? SAS Innovate 2025 is the largest SAS event, uniting business leaders, technical users and SAS partners in one collaborative space to focus on data and AI. From executives, data scientists, engineers and analysts to our partners across industries, the event offers amazing content for everyone and every role.","Defines SAS Innovate 2025 as the largest SAS event, highlighting its focus on data and AI and the diverse audience it caters to.",0.6900872588157654,"What is SAS Innovate 2025, and who should attend? SAS Innovate 2025 is the largest SAS event, uniting business leaders, technical users and SAS partners in one collaborative space to focus on data and AI. From executives, data scientists, engineers and analysts to our partners across industries, the event offers amazing content for everyone and every role.","Defines SAS Innovate 2025 as the largest SAS event, highlighting its focus on data and AI and the diverse audience it caters to.",0.635494589805603,"Have questions about SAS Innovate 2025? You’ve come to the right page. From event info to accommodations to pricing and more, we’ve put together a list of anything and everything you need to know about the event.","This is an introductory statement indicating the page is a FAQ for SAS Innovate 2025, covering various event-related topics.",0.634638786315918,"Will there be a SAS Explore in 2025? No. However, all the great content our technical users have come to expect at SAS Explore – hands-on learning, technical sessions, super demos and more – will be offered at SAS Innovate.","SAS Explore will not be held in 2025, but its content will be integrated into SAS Innovate.",0.538556694984436,"Will there be a SAS Explore in 2025? No. However, all the great content our technical users have come to expect at SAS Explore – hands-on learning, technical sessions, super demos and more – will be offered at SAS Innovate.","SAS Explore will not be held in 2025, but its content will be integrated into SAS Innovate.",0.6322739124298096
Do you provide live streams or recordings for those who can’t attend?,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,Details about streaming options for the event.,0.45623651146888733,Can I attend this event virtually,The AI Conference 2025 is an in-person event only.,0.49347031116485596,Can I attend this event virtually,The AI Conference 2025 is an in-person event only.,0.40059471130371094,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,Details about streaming options for the event.,0.47823479771614075,Can I present at the conference,Submissions for this year’s conference speakers will open soon.,0.32861822843551636,Do you offer discounts or complimentary passes,Discounted group rates are available for groups of two or more people registering together.,0.3631129562854767,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,SAS Innovate will provide complimentary live streaming and on-demand access to sessions.,0.45623651146888733,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,SAS Innovate will provide complimentary live streaming and on-demand access to sessions.,0.4783090054988861,"Attendees with press, vendor, or speaker passes will receive emails with event details including meals, transportation, and maps.",Information for attendees with special passes.,0.3314315378665924,"Do I need to register by a certain date? You will be able to register at any point until the event begins on May 6, 2025; however, we'd recommend registering as soon as possible to take advantage of early access to the mobile app and sessions that require advanced sign-up.",States that registration is open until the event begins but recommends early registration for app access and session sign-up.,0.33238452672958374,"The AI Conference is an in-person event only, promoting community and networking.",Event attendance is exclusively in-person.,0.3176577091217041,"Attendees with press, vendor, or speaker passes will receive emails with event details including meals, transportation, and maps.",Information for attendees with special passes.,0.32117027044296265
Where is the AI Conference being held?,Are meals included during the event? Lunch will be provided on Wednesday May 7 and Thursday May 8. Light snacks and beverages will also be available periodically throughout each day in the Innovation Hub.,Details about meal provisions during the event.,0.3649527430534363,How much does The AI Conference 2025 cost,The conference has Early Bird pricing while supplies last; standard passes pricing is available on the registration page after launch.,0.6439236402511597,How can my company sponsor The AI Conference,Visit aiconference.com/sponsors/ for all exhibitor opportunities.,0.35532674193382263,How can my company sponsor The AI Conference,Visit aiconference.com/sponsors/ for all exhibitor opportunities.,0.5831359624862671,Where will it be held? Hilton Orlando in Orlando Florida USA. The hotel address is 6001 Destination Parkway Orlando FL 32819.,Location details for SAS Innovate 2025.,0.3436375856399536,Who will be speaking at the conference,"The conference features 2 days, 4 tracks, and 85+ speakers.",0.48205193877220154,"The AI Conference 2025 will be held at Pier 48, Mission Rock, San Francisco, CA 94158.",Location of the conference.,0.8161003589630127,"The AI Conference 2025 will be held at Pier 48, Mission Rock, San Francisco, CA 94158.",Location of the conference.,0.7290991544723511,"The AI Conference 2025 takes place on September 17th – 18th, 2025, starting at 8:00 AM PST.",Dates and time of the conference.,0.7748979330062866,"The AI Conference 2025 takes place on September 17th – 18th, 2025, starting at 8:00 AM PST.",Dates and time of the conference.,0.695838451385498,"The AI Conference is an in-person event only, promoting community and networking.",Event attendance is exclusively in-person.,0.7329424619674683,"The AI Conference is an in-person event only, promoting community and networking.",Event attendance is exclusively in-person.,0.6695892810821533
What’s the address for SAS Innovate 2025?,What is SAS Innovate 2025 and who should attend? SAS Innovate 2025 is the largest SAS event uniting business leaders technical users and SAS partners in one collaborative space to focus on data and AI. From executives data scientists engineers and analysts to our partners across industries the event offers amazing content for everyone and every role.,Description of SAS Innovate 2025 and its target audience.,0.7352447509765625,What is SAS Innovate 2025 and who should attend? SAS Innovate 2025 is the largest SAS event uniting business leaders technical users and SAS partners in one collaborative space to focus on data and AI. From executives data scientists engineers and analysts to our partners across industries the event offers amazing content for everyone and every role.,Description of SAS Innovate 2025 and its target audience.,0.7541728615760803,Will there be a SAS Explore in 2025? No. However all the great content our technical users have come to expect at SAS Explore hands-on learning technical sessions super demos and more will be offered at SAS Innovate.,Information about the absence of SAS Explore in 2025.,0.596524178981781,Will there be a SAS Explore in 2025? No. However all the great content our technical users have come to expect at SAS Explore hands-on learning technical sessions super demos and more will be offered at SAS Innovate.,Information about the absence of SAS Explore in 2025.,0.6297920942306519,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,Details about streaming options for the event.,0.5055278539657593,What is the dress code for SAS Innovate? Smart casual. We’re keeping it professional but we’re definitely not formal.,Dress code for the event.,0.5829757452011108,"What is SAS Innovate 2025, and who should attend? SAS Innovate 2025 is the largest SAS event, uniting business leaders, technical users and SAS partners in one collaborative space to focus on data and AI. From executives, data scientists, engineers and analysts to our partners across industries, the event offers amazing content for everyone and every role.","Defines SAS Innovate 2025 as the largest SAS event, highlighting its focus on data and AI and the diverse audience it caters to.",0.7430559396743774,"What is SAS Innovate 2025, and who should attend? SAS Innovate 2025 is the largest SAS event, uniting business leaders, technical users and SAS partners in one collaborative space to focus on data and AI. From executives, data scientists, engineers and analysts to our partners across industries, the event offers amazing content for everyone and every role.","Defines SAS Innovate 2025 as the largest SAS event, highlighting its focus on data and AI and the diverse audience it caters to.",0.7489526271820068,"Will there be a SAS Explore in 2025? No. However, all the great content our technical users have come to expect at SAS Explore – hands-on learning, technical sessions, super demos and more – will be offered at SAS Innovate.","SAS Explore will not be held in 2025, but its content will be integrated into SAS Innovate.",0.6166509389877319,"Have questions about SAS Innovate 2025? You’ve come to the right page. From event info to accommodations to pricing and more, we’ve put together a list of anything and everything you need to know about the event.","This is an introductory statement indicating the page is a FAQ for SAS Innovate 2025, covering various event-related topics.",0.7376149892807007,"The AI Conference 2025 will be held at Pier 48, Mission Rock, San Francisco, CA 94158.",Location of the conference.,0.5144155025482178,"Will there be a SAS Explore in 2025? No. However, all the great content our technical users have come to expect at SAS Explore – hands-on learning, technical sessions, super demos and more – will be offered at SAS Innovate.","SAS Explore will not be held in 2025, but its content will be integrated into SAS Innovate.",0.6406019330024719
Which hotels are nearby the event venue?,Where will it be held? Hilton Orlando in Orlando Florida USA. The hotel address is 6001 Destination Parkway Orlando FL 32819.,Location details for SAS Innovate 2025.,0.5494856834411621,Which hotels are near the event,"Nearby hotels include Luma Hotel San Francisco, Hotel VIA, SoMa House, and Hotel Fiona.",0.8282485008239746,How do I get from the airport to the conference hotels? Hilton Orlando and the DoubleTree by Hilton Orlando at SeaWorld are conveniently located approximately 13 miles from Orlando International Airport (MCO).,Transportation options from the airport to hotels.,0.47801947593688965,What are the conference hotel blocks and rates? Please register before booking your hotel room to secure discounted rates at one of our two conference hotels.,Information about hotel blocks and rates.,0.5200579762458801,Which hotels are near the event,"Nearby hotels include Luma Hotel San Francisco, Hotel VIA, SoMa House, and Hotel Fiona.",0.40019387006759644,How do I get from the airport to the conference hotels? Hilton Orlando and the DoubleTree by Hilton Orlando at SeaWorld are conveniently located approximately 13 miles from Orlando International Airport (MCO).,Transportation options from the airport to hotels.,0.49273988604545593,"Where will it be held? Hilton Orlando in Orlando, Florida, USA. The hotel address is 6001 Destination Parkway, Orlando, FL 32819.","States the location of SAS Innovate 2025: Hilton Orlando, Florida, and provides the address.",0.575935959815979,"What are the conference hotel blocks and rates? Please register before booking your hotel room to secure discounted rates at one of our two conference hotels. These special rates are available on a first-come, first-served basis. The event will take place at the Hilton. Shuttle transportation will be provided from the DoubleTree to the Hilton. Further, convenient sidewalks connect the Hilton and the Doubletree. The most direct route is outside, including uncovered sidewalks, for a total distance of approximately .7 miles. Shuttles for SAS Innovate After Hours on May 8 will be offered directly from both hotels.","Details hotel options, rates, and transportation between the Hilton and DoubleTree hotels.",0.5176066756248474,"What are the conference hotel blocks and rates? Please register before booking your hotel room to secure discounted rates at one of our two conference hotels. These special rates are available on a first-come, first-served basis. The event will take place at the Hilton. Shuttle transportation will be provided from the DoubleTree to the Hilton. Further, convenient sidewalks connect the Hilton and the Doubletree. The most direct route is outside, including uncovered sidewalks, for a total distance of approximately .7 miles. Shuttles for SAS Innovate After Hours on May 8 will be offered directly from both hotels.","Details hotel options, rates, and transportation between the Hilton and DoubleTree hotels.",0.46306824684143066,"How do I get from the airport to the conference hotels? Hilton Orlando and the DoubleTree by Hilton Orlando at SeaWorld are conveniently located approximately 13 miles from Orlando International Airport (MCO). Transportation options to/from Orlando International Airport include: taxi (fees apply), rental car (fees apply) or ride-share apps like Uber or Lyft (fees apply).",Provides directions and transportation options from Orlando International Airport (MCO) to the conference hotels.,0.46901053190231323,"Hotel VIA (138 King St, San Francisco, CA 94107) is 0.6 miles away and has a booking cutoff date of 8/18/2025.",Hotel information near the event venue.,0.46283650398254395,"Where will it be held? Hilton Orlando in Orlando, Florida, USA. The hotel address is 6001 Destination Parkway, Orlando, FL 32819.","States the location of SAS Innovate 2025: Hilton Orlando, Florida, and provides the address.",0.4516713619232178
When is the AI Conference scheduled?,Are meals included during the event? Lunch will be provided on Wednesday May 7 and Thursday May 8. Light snacks and beverages will also be available periodically throughout each day in the Innovation Hub.,Details about meal provisions during the event.,0.40339064598083496,How much does The AI Conference 2025 cost,The conference has Early Bird pricing while supplies last; standard passes pricing is available on the registration page after launch.,0.665992259979248,Do I need to register by a certain date? You will be able to register at any point until the event begins on May 6 2025.,Registration timeline for the event.,0.39696910977363586,How can my company sponsor The AI Conference,Visit aiconference.com/sponsors/ for all exhibitor opportunities.,0.5594738721847534,When is it? Tuesday May 6 to Friday May 9 2025.,Dates of the SAS Innovate 2025 event.,0.37989094853401184,Who will be speaking at the conference,"The conference features 2 days, 4 tracks, and 85+ speakers.",0.4661495089530945,"The AI Conference 2025 takes place on September 17th – 18th, 2025, starting at 8:00 AM PST.",Dates and time of the conference.,0.892835795879364,"The AI Conference 2025 takes place on September 17th – 18th, 2025, starting at 8:00 AM PST.",Dates and time of the conference.,0.7418510317802429,"The AI Conference 2025 will be held at Pier 48, Mission Rock, San Francisco, CA 94158.",Location of the conference.,0.7590172290802002,"The AI Conference 2025 FAQ provides answers to frequently asked questions about the event. For questions not addressed, email info@aiconference.com.",Introduction to the FAQ section of The AI Conference 2025.,0.6821140050888062,"The AI Conference is an in-person event only, promoting community and networking.",Event attendance is exclusively in-person.,0.695610761642456,"The AI Conference is an in-person event only, promoting community and networking.",Event attendance is exclusively in-person.,0.647365927696228
What are the dates for SAS Innovate?,What is SAS Innovate 2025 and who should attend? SAS Innovate 2025 is the largest SAS event uniting business leaders technical users and SAS partners in one collaborative space to focus on data and AI. From executives data scientists engineers and analysts to our partners across industries the event offers amazing content for everyone and every role.,Description of SAS Innovate 2025 and its target audience.,0.7186315655708313,What is SAS Innovate 2025 and who should attend? SAS Innovate 2025 is the largest SAS event uniting business leaders technical users and SAS partners in one collaborative space to focus on data and AI. From executives data scientists engineers and analysts to our partners across industries the event offers amazing content for everyone and every role.,Description of SAS Innovate 2025 and its target audience.,0.7338911890983582,Will there be a SAS Explore in 2025? No. However all the great content our technical users have come to expect at SAS Explore hands-on learning technical sessions super demos and more will be offered at SAS Innovate.,Information about the absence of SAS Explore in 2025.,0.5956567525863647,Will there be a SAS Explore in 2025? No. However all the great content our technical users have come to expect at SAS Explore hands-on learning technical sessions super demos and more will be offered at SAS Innovate.,Information about the absence of SAS Explore in 2025.,0.6541190147399902,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,Details about streaming options for the event.,0.5280437469482422,What is the dress code for SAS Innovate? Smart casual. We’re keeping it professional but we’re definitely not formal.,Dress code for the event.,0.6430919766426086,"What is SAS Innovate 2025, and who should attend? SAS Innovate 2025 is the largest SAS event, uniting business leaders, technical users and SAS partners in one collaborative space to focus on data and AI. From executives, data scientists, engineers and analysts to our partners across industries, the event offers amazing content for everyone and every role.","Defines SAS Innovate 2025 as the largest SAS event, highlighting its focus on data and AI and the diverse audience it caters to.",0.7249932885169983,"What is SAS Innovate 2025, and who should attend? SAS Innovate 2025 is the largest SAS event, uniting business leaders, technical users and SAS partners in one collaborative space to focus on data and AI. From executives, data scientists, engineers and analysts to our partners across industries, the event offers amazing content for everyone and every role.","Defines SAS Innovate 2025 as the largest SAS event, highlighting its focus on data and AI and the diverse audience it caters to.",0.7320285439491272,"Will there be a SAS Explore in 2025? No. However, all the great content our technical users have come to expect at SAS Explore – hands-on learning, technical sessions, super demos and more – will be offered at SAS Innovate.","SAS Explore will not be held in 2025, but its content will be integrated into SAS Innovate.",0.627275288105011,"Have questions about SAS Innovate 2025? You’ve come to the right page. From event info to accommodations to pricing and more, we’ve put together a list of anything and everything you need to know about the event.","This is an introductory statement indicating the page is a FAQ for SAS Innovate 2025, covering various event-related topics.",0.6887913942337036,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,SAS Innovate will provide complimentary live streaming and on-demand access to sessions.,0.5280437469482422,"Will there be a SAS Explore in 2025? No. However, all the great content our technical users have come to expect at SAS Explore – hands-on learning, technical sessions, super demos and more – will be offered at SAS Innovate.","SAS Explore will not be held in 2025, but its content will be integrated into SAS Innovate.",0.6660878658294678
At what time do the sessions begin?,Do I need to register by a certain date? You will be able to register at any point until the event begins on May 6 2025.,Registration timeline for the event.,0.3370162546634674,How long will presentations be,Presentations will include keynote presentations lasting 40 minutes and featured contributors lasting 20 minutes.,0.4613266885280609,Are meals included during the event? Lunch will be provided on Wednesday May 7 and Thursday May 8. Light snacks and beverages will also be available periodically throughout each day in the Innovation Hub.,Details about meal provisions during the event.,0.3091329336166382,Will there be a streaming option to view sessions online? SAS Innovate will offer complimentary live streaming and on-demand viewing of the general sessions and many breakout sessions on popular topics.,Details about streaming options for the event.,0.3599933087825775,When is it? Tuesday May 6 to Friday May 9 2025.,Dates of the SAS Innovate 2025 event.,0.27315112948417664,What is the shuttle schedule between the DoubleTree and the Hilton Orlando? Tuesday 5/6—12:00PM to 7:30PM Wednesday 5/7—6:45AM to 7:30PM Thursday 5/8—6:45AM to 6:30PM Friday 5/9—8AM to 12:30PM.,Shuttle schedule information for the event.,0.352421373128891,"Do I need to register by a certain date? You will be able to register at any point until the event begins on May 6, 2025; however, we'd recommend registering as soon as possible to take advantage of early access to the mobile app and sessions that require advanced sign-up.",States that registration is open until the event begins but recommends early registration for app access and session sign-up.,0.3818231225013733,"Do I need to register by a certain date? You will be able to register at any point until the event begins on May 6, 2025; however, we'd recommend registering as soon as possible to take advantage of early access to the mobile app and sessions that require advanced sign-up.",States that registration is open until the event begins but recommends early registration for app access and session sign-up.,0.4140009880065918,"The AI Conference 2025 takes place on September 17th – 18th, 2025, starting at 8:00 AM PST.",Dates and time of the conference.,0.3813469707965851,Presentations will be 40 minutes for Keynotes and 20 minutes for featured contributors. Vendor/sponsor presentations may vary.,Presentation duration details.,0.39506298303604126,"When is it? Tuesday, May 6 to Friday, May 9, 2025.","Specifies the dates for SAS Innovate 2025: May 6-9, 2025.",0.2912146747112274,What is the shuttle schedule between the DoubleTree and the Hilton Orlando? - Tuesday 5/6—12:00PM to 7:30PM - Wednesday 5/7—6:45AM to 7:30PM - Thursday 5/8—6:45AM to 6:30PM - Friday 5/9—8AM to 12:30PM,Provides the shuttle schedule between the DoubleTree and Hilton Orlando hotels for each day of the event.,0.37680867314338684
How much does the ticket cost?,What are the group rates? Groups of 2-3: $500 per person. Groups of 4 or more: $400 per person.,Details on group rates for the event.,0.4211120009422302,How much does it cost to attend? Please visit the Pricing page for details on pricing tiers and group discounts.,Information regarding attendance costs.,0.4610916078090668,Is it cheaper to take a taxi or ride-sharing app from the Orlando airport? While taxis are available taking a ride share is generally cheaper and offers more predictable fares.,Cost comparison between taxi and ride-sharing from the airport.,0.24310405552387238,How much does The AI Conference 2025 cost,The conference has Early Bird pricing while supplies last; standard passes pricing is available on the registration page after launch.,0.41549405455589294,How else can I get around Orlando? Guests staying at conference hotels will receive free passes for the I-Ride Trolley for the duration of your stay.,Details on transportation options within Orlando.,0.22890713810920715,What are the group rates? Groups of 2-3: $500 per person. Groups of 4 or more: $400 per person.,Details on group rates for the event.,0.3839847445487976,"Is it cheaper to take a taxi or ride-sharing app from the Orlando airport? While taxis are available, taking a ride share is generally cheaper and offers more predictable fares. Fares are typically $35-$50 each way, depending on timing and traffic.","Compares the cost of taxis and ride-sharing apps from the Orlando airport, stating ride-sharing is generally cheaper.",0.43229570984840393,What are the group rates? Groups of 2-3: $500 per person. Groups of 4 or more: $400 per person.,Details the group rates for event registration based on group size.,0.3839235007762909,What are the group rates? Groups of 2-3: $500 per person. Groups of 4 or more: $400 per person.,Details the group rates for event registration based on group size.,0.4211120009422302,How much does it cost to attend? Please visit the [Pricing page](https://www.sas.com/en/events/sas-innovate/pricing.html) for details on pricing tiers and group discounts.,Provides information on event costs and directs users to the pricing page for details.,0.38281089067459106,"Can I bring a guest? There are a limited number of guest passes available exclusively for SAS Innovate After Hours on the streets of New York at Universal Studios Florida. Please note that guests must be over 21, and passes are limited to one guest per attendee while supplies last. Guest passes are $150 and include transportation to and from the event, late night snacks and beverages, theme park rides and entertainment. All guests must have a SAS Innovate Guest Pass; Universal Studios park tickets will not be valid for entry to our private party. Guest Pass substitutions are welcome at any time.",Details the availability and requirements for guest passes to SAS Innovate After Hours.,0.36298447847366333,Discounted group rates are available for groups of two or more. Contact tickets@aiconference.com for a discount code.,Further details on group rate discounts.,0.35796892642974854
